epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,584.218,0.99752,4.73079,1.55041,0.88572,0.33333,0.59325,0.47994,0.65401,5.20581,1.52465,0.000118265,0.000118265,0.000118265
2,1165.9,0.70561,2.89692,1.32032,0.37075,0.82744,0.82917,0.67508,0.62725,3.62708,1.49705,0.000234917,0.000234917,0.000234917
3,1746.96,0.68462,2.42464,1.28898,0.50418,0.83333,0.93972,0.7533,0.62203,4.33053,1.37975,0.000349211,0.000349211,0.000349211
4,2334.64,0.58432,1.94452,1.20458,0.71461,0.83333,0.995,0.86233,0.499,2.65346,1.2706,0.000346397,0.000346397,0.000346397
5,2923.82,0.55456,1.77417,1.1915,0.65064,0.93107,0.95354,0.85819,0.49517,2.32182,1.265,0.000342863,0.000342863,0.000342863
6,3506.61,0.572,1.55114,1.19399,0.64872,0.91667,0.995,0.84299,0.56052,4.31382,1.36331,0.000339329,0.000339329,0.000339329
7,4089.69,0.53049,1.49303,1.16837,0.75027,1,0.995,0.85819,0.47183,2.71292,1.25838,0.000335794,0.000335794,0.000335794
8,4672.44,0.50998,1.30782,1.14347,0.7204,1,0.95354,0.83331,0.46818,4.63097,1.22151,0.00033226,0.00033226,0.00033226
9,5256.4,0.49716,1.23309,1.1281,0.82576,1,0.995,0.90379,0.44447,1.6892,1.18027,0.000328726,0.000328726,0.000328726
10,5840.13,0.49338,1.11038,1.11492,0.73033,1,0.995,0.8955,0.46298,1.11872,1.25104,0.000325191,0.000325191,0.000325191
11,6428.95,0.46777,1.02014,1.10925,0.78176,1,0.995,0.90379,0.50026,1.1076,1.29803,0.000321657,0.000321657,0.000321657
12,7013.08,0.45572,1.01821,1.1017,0.83217,0.91667,0.995,0.8499,0.56112,1.81122,1.23477,0.000318123,0.000318123,0.000318123
13,7595.01,0.44116,0.95882,1.09347,0.86338,0.91667,0.995,0.87892,0.57712,1.44718,1.29997,0.000314588,0.000314588,0.000314588
14,8176.57,0.43816,0.91708,1.08182,0.82541,1,0.995,0.89965,0.49613,0.86939,1.27675,0.000311054,0.000311054,0.000311054
15,8759.36,0.4387,0.91948,1.08534,0.68547,1,0.995,0.85819,0.48863,1.58523,1.24873,0.00030752,0.00030752,0.00030752
16,9342.75,0.42286,0.83687,1.07365,0.86482,1,0.995,0.86786,0.48048,1.04349,1.17233,0.000303986,0.000303986,0.000303986
17,9926.01,0.42079,0.80209,1.0747,0.96121,0.83333,0.995,0.90379,0.49486,0.79009,1.31776,0.000300451,0.000300451,0.000300451
